addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 2, 136, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 3, 204, 68, 68, 68.0, 0.0, 4624.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 32, 8053, 68, 2185, 251.65625, 212884.8505859375, 276215.71875, 1, 56, 24, 5056, 68, 723, 210.66666666666666, 33908.13888888889, 78288.58333333333, 1, 56, 56, 13109, 68, 2185, 234.08928571428572, 105902.05859375, 191389.80357142858
0, 0, 9, 1746, 68, 667, 194.0, 37420.22222222222, 75056.22222222222, 0, 0, 5, 949, 68, 339, 189.8, 14365.76, 50389.8, 0, 0, 14, 2695, 68, 667, 192.5, 25290.69252077563, 66246.78571428571
0, 0, 34, 7836, 68, 701, 230.47058823529412, 49876.190311418686, 102992.88235294117, 0, 0, 40, 27391, 68, 3354, 684.775, 595044.324375, 1063961.125, 0, 0, 74, 35227, 68, 3354, 476.0405405405405, 475647.272083718, 622435.1756756756
0, 0, 84, 13985, 68, 825, 166.48809523809524, 34849.60700113378, 62567.892857142855, 0, 0, 85, 17993, 68, 1486, 211.68235294117648, 76070.52262975779, 120879.94117647059, 0, 0, 169, 31978, 68, 1486, 189.2189349112426, 62890.50128650259, 91896.43786982249
0, 0, 37, 5221, 68, 806, 141.1081081081081, 31064.04236669102, 50975.54054054054, 0, 0, 42, 8133, 68, 1263, 193.64285714285714, 54992.65816326531, 92490.21428571429, 0, 0, 79, 13354, 68, 1263, 169.0379746835443, 48261.51656307629, 73046.6329113924
0, 0, 14, 6783, 68, 2490, 484.5, 396665.53571428574, 631405.7857142857, 0, 0, 13, 2744, 68, 1098, 211.07692307692307, 71001.45562130178, 115554.92307692308, 0, 0, 27, 9527, 68, 2490, 352.85185185185185, 201991.824375, 383033.14814814815
0, 0, 9, 1911, 68, 696, 212.33333333333334, 61550.444444444445, 106635.88888888889, 0, 0, 9, 2882, 68, 1114, 320.22222222222223, 88925.06172839507, 191467.33333333334, 0, 0, 18, 4793, 68, 1114, 266.27777777777777, 82386.85871056242, 149051.61111111112
0, 0, 20, 4651, 68, 645, 232.55, 44472.34750000001, 98551.85, 0, 0, 17, 11234, 68, 4195, 660.8235294117648, 1417149.0865051902, 1853836.8235294118, 0, 0, 37, 15885, 68, 4195, 429.3243243243243, 951522.7177640605, 905034.1351351351
0, 0, 40, 15433, 68, 1832, 385.825, 202499.694375, 351360.625, 0, 0, 30, 25924, 68, 3433, 864.1333333333333, 1240022.5155555557, 1986748.9333333333, 0, 0, 70, 41357, 68, 3433, 590.8142857142857, 879920.3138999997, 1052241.3285714285
0, 0, 280, 21931, 68, 712, 78.325, 5763.033660714288, 11897.839285714286, 0, 0, 553, 3996576, 68, 24684, 7227.0813743218805, 39705521.868604265, 91936227.0596745, 0, 0, 833, 4018507, 68, 24684, 4824.138055222089, 39923859.94348193, 61037292.867947176
0, 0, 23, 9209, 68, 1577, 400.39130434782606, 171681.7164461248, 331994.9130434783, 0, 0, 18, 5612, 68, 1114, 311.77777777777777, 94508.17283950617, 191713.55555555556, 0, 0, 41, 14821, 68, 1577, 361.4878048780488, 126460.55731111747, 270407.9756097561
0, 0, 83, 8999, 68, 783, 108.42168674698796, 19989.3282043838, 31744.590361445782, 0, 0, 114, 726172, 68, 18275, 6369.929824561404, 20146707.609110493, 60722713.578947365, 0, 0, 197, 735171, 68, 18275, 3731.832487309645, 22446234.36397473, 35152406.847715735
0, 0, 159, 17954, 68, 1983, 112.91823899371069, 50934.84237174162, 63685.37106918239, 0, 0, 329, 1418244, 68, 23236, 4310.772036474164, 14301574.382683087, 32884329.9331307, 0, 0, 488, 1436198, 68, 23236, 2943.02868852459, 14290256.739550764, 22190718.282786883
0, 0, 155, 12751, 68, 712, 82.26451612903226, 7753.136482830386, 14520.587096774194, 0, 0, 208, 1091176, 68, 18342, 5246.038461538462, 16024796.767751478, 43545716.307692304, 0, 0, 362, 1103859, 68, 18342, 3049.3342541436464, 16954945.69973838, 25026947.67679558
0, 0, 65, 9023, 68, 1262, 138.8153846153846, 55153.31976331362, 74423.03076923077, 0, 0, 75, 369488, 68, 12409, 4926.506666666667, 16542140.80995556, 40812608.74666667, 0, 0, 140, 378511, 68, 12409, 2703.65, 16392518.981806383, 21898451.09285714
0, 0, 8, 1257, 68, 453, 157.125, 16896.359375, 41584.625, 0, 0, 13, 1824, 68, 486, 140.30769230769232, 14927.44378698225, 34613.692307692305, 0, 0, 21, 3081, 68, 486, 146.71428571428572, 15441.606401384086, 37269.28571428572
0, 0, 8, 2515, 68, 712, 314.375, 95015.484375, 193847.125, 0, 0, 9, 2707, 68, 695, 300.77777777777777, 78285.50617283951, 168752.77777777778, 0, 0, 17, 5222, 68, 712, 307.1764705882353, 83472.57544378698, 180561.88235294117
